Delivery_person_Age,Delivery_person_Ratings,Order_Date,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Is_Weekend,Prep_Time_min
37,4.9,2022-03-19,Sunny,2,Snack ,motorcycle,0,0,Urban,24,3.0251492856775037,1,15.0
34,4.5,2022-03-25,Stormy,3,Snack ,scooter,1,0,Metropolitian,33,20.183529728733618,0,5.0
23,4.4,2022-03-19,Sandstorms,0,Drinks ,motorcycle,1,0,Urban,26,1.5527578022548725,1,15.0
38,4.7,2022-04-05,Sunny,1,Buffet ,motorcycle,1,0,Metropolitian,21,7.790401360105752,0,10.0
32,4.6,2022-03-26,Cloudy,2,Snack ,scooter,1,0,Metropolitian,30,6.2101379656240985,1,15.0
22,4.8,2022-03-11,Cloudy,3,Buffet ,motorcycle,1,0,Urban,26,4.610365144357059,0,10.0
33,4.7,2022-03-04,Fog,3,Meal ,scooter,1,0,Metropolitian,40,16.600361127912656,0,15.0
35,4.6,2022-03-14,Cloudy,1,Meal ,motorcycle,1,0,Metropolitian,32,20.20525323529291,0,5.0
22,4.8,2022-03-20,Stormy,3,Buffet ,motorcycle,1,0,Metropolitian,34,19.975520086221444,1,10.0
36,4.2,2022-02-12,Fog,3,Snack ,motorcycle,3,0,Metropolitian,46,10.280582064621875,1,15.0
21,4.7,2022-02-13,Stormy,2,Meal ,motorcycle,1,0,Metropolitian,23,6.242318682701243,1,10.0
23,4.7,2022-03-04,Sandstorms,1,Drinks ,scooter,1,0,Metropolitian,21,13.787860239172547,0,10.0
34,4.3,2022-02-13,Sandstorms,0,Buffet ,motorcycle,0,0,Metropolitian,20,2.9302578007621216,1,10.0
24,4.7,2022-02-14,Fog,3,Snack ,scooter,1,0,Metropolitian,41,19.39661829066159,0,15.0
29,4.5,2022-04-02,Sandstorms,3,Buffet ,electric_scooter,1,0,Metropolitian,20,13.763977224427641,1,10.0
35,4.0,2022-03-01,Windy,2,Meal ,scooter,1,0,Metropolitian,33,6.21800119018663,0,15.0
33,4.2,2022-03-16,Sandstorms,3,Snack ,motorcycle,1,0,Metropolitian,40,16.849939918016496,0,10.0
34,4.9,2022-03-20,Cloudy,3,Snack ,motorcycle,1,0,Metropolitian,41,10.75710880025813,1,10.0
21,4.7,2022-02-15,Windy,3,Meal ,motorcycle,1,0,Urban,15,4.5405743887312955,0,15.0
25,4.1,2022-03-16,Sandstorms,3,Snack ,motorcycle,2,0,Metropolitian,36,12.256076445468295,0,5.0
31,4.7,2022-03-10,Sandstorms,0,Meal ,electric_scooter,0,0,Metropolitian,26,19.618739348801018,0,15.0
37,5.0,2022-03-11,Sandstorms,0,Snack ,motorcycle,1,0,Metropolitian,20,1.5581322655568652,0,15.0
33,4.3,2022-03-27,Windy,3,Meal ,scooter,1,0,Metropolitian,39,20.180635114114718,1,15.0
25,4.0,2022-03-26,Cloudy,2,Buffet ,motorcycle,1,0,Metropolitian,34,6.116971669682334,1,5.0
29,4.5,2022-03-27,Sunny,1,Meal ,electric_scooter,1,0,Metropolitian,15,17.07559440107296,1,15.0
27,5.0,2022-04-05,Stormy,3,Snack ,motorcycle,0,0,Urban,18,4.470286489434607,0,5.0
35,4.3,2022-03-12,Cloudy,0,Drinks ,scooter,0,0,Metropolitian,38,13.68204452608078,1,10.0
32,4.0,2022-03-16,Windy,3,Buffet ,motorcycle,1,0,Metropolitian,47,13.973182653917394,0,15.0
23,4.8,2022-04-02,Windy,0,Buffet ,electric_scooter,0,0,Urban,12,16.85361872985359,1,10.0
31,4.8,2022-04-01,Sandstorms,0,Drinks ,motorcycle,1,0,Metropolitian,26,4.674172124263269,0,15.0
36,4.1,2022-03-05,Stormy,0,Drinks ,motorcycle,1,0,Urban,22,7.601616771071091,1,5.0
26,4.3,2022-02-11,Sandstorms,0,Buffet ,motorcycle,0,0,Urban,21,7.720324413179964,0,10.0
38,4.9,2022-02-11,Cloudy,2,Drinks ,scooter,1,0,Urban,25,6.175636261016932,0,5.0
32,4.6,2022-04-02,Cloudy,0,Drinks ,scooter,1,0,Metropolitian,30,19.914686965545187,1,10.0
33,4.9,2022-03-08,Sunny,1,Snack ,motorcycle,1,0,Metropolitian,22,10.724517748046024,0,15.0
20,4.7,2022-04-03,Windy,2,Snack ,scooter,0,0,Urban,10,6.127835452844327,1,10.0
20,4.8,2022-03-30,Sandstorms,0,Meal ,scooter,1,0,Metropolitian,19,1.5203573134022046,0,10.0
35,5.0,2022-04-01,Sunny,0,Snack ,scooter,1,0,Urban,11,3.0734537599377685,0,10.0
26,4.9,2022-03-28,Stormy,0,Buffet ,scooter,0,0,Metropolitian,11,3.105131477545897,0,15.0
22,4.8,2022-03-18,Fog,0,Snack ,motorcycle,1,0,Metropolitian,28,10.867426834480481,0,10.0
35,4.3,2022-03-14,Cloudy,1,Snack ,motorcycle,1,0,Metropolitian,33,10.865464603780389,0,5.0
29,4.7,2022-04-06,Cloudy,1,Drinks ,scooter,1,0,Metropolitian,33,12.236723616598548,0,9.978688077714173
37,4.7,2022-04-04,Sandstorms,3,Snack ,motorcycle,3,0,Metropolitian,52,13.682516298592297,0,5.0
28,4.6,2022-03-08,Stormy,3,Snack ,scooter,1,0,Metropolitian,22,16.826241648658115,0,15.0
37,4.9,2022-02-13,Fog,0,Snack ,scooter,1,0,Urban,16,3.0272369309754272,1,5.0
23,4.9,2022-03-24,Sunny,3,Drinks ,electric_scooter,0,0,Metropolitian,11,9.175193844437826,0,5.0
27,4.9,2022-03-19,Windy,1,Drinks ,scooter,1,0,Metropolitian,25,9.315069177421892,1,15.0
37,4.8,2022-03-09,Cloudy,1,Drinks ,motorcycle,1,0,Urban,26,6.209021101535612,0,10.0
33,5.0,2022-03-19,Sunny,2,Snack ,scooter,1,0,Metropolitian,18,1.5203447277401048,1,10.0
31,4.9,2022-04-03,Fog,1,Snack ,motorcycle,1,0,Metropolitian,16,6.037225392443855,1,5.0
31,4.8,2022-03-25,Stormy,0,Drinks ,scooter,1,0,Metropolitian,23,17.078665498349437,0,10.0
28,4.8,2022-04-04,Sandstorms,3,Drinks ,motorcycle,1,0,Metropolitian,36,12.464329297636581,0,10.0
31,4.7,2022-03-26,Cloudy,0,Snack ,motorcycle,0,0,Metropolitian,16,9.121425981981247,1,15.0
24,4.7,2022-03-10,Sunny,1,Buffet ,motorcycle,0,0,Urban,19,14.023232083084483,0,5.0
39,4.6,2022-02-14,Sunny,0,Snack ,motorcycle,1,0,Metropolitian,27,13.392612276663236,0,15.0
32,4.5,2022-03-26,Windy,0,Buffet ,scooter,0,0,Metropolitian,20,1.4899271643865588,1,15.0
25,4.8,2022-03-29,Sandstorms,0,Drinks ,scooter,0,0,Urban,18,11.916582838288104,0,10.0
33,4.9,2022-03-30,Sunny,3,Drinks ,scooter,0,0,Metropolitian,22,4.663566689152146,0,5.0
30,4.4,2022-03-12,Cloudy,0,Drinks ,scooter,1,0,Metropolitian,34,10.641157729337541,1,15.0
33,5.0,2022-03-31,Sandstorms,0,Buffet ,motorcycle,0,0,Urban,24,16.818368923732613,0,5.0
36,4.9,2022-03-17,Fog,1,Drinks ,scooter,1,0,Metropolitian,17,6.128551257919138,0,15.0
21,4.8,2022-02-15,Sandstorms,0,Meal ,electric_scooter,0,0,Metropolitian,14,2.996250036665907,0,10.0
39,4.9,2022-02-15,Stormy,3,Meal ,motorcycle,1,0,Metropolitian,30,7.342175722857793,0,5.0
39,4.6,2022-03-16,Cloudy,3,Snack ,scooter,1,0,Metropolitian,36,13.972123977178622,0,5.0
22,4.7,2022-03-17,Sunny,2,Buffet ,scooter,1,0,Urban,18,6.081440797008078,0,5.0
32,4.6,2022-03-15,Fog,1,Meal ,scooter,0,0,Metropolitian,17,6.080891507842322,0,15.0
29,4.7,2022-03-11,NaN,0,Drinks ,scooter,0,0,Metropolitian,19,6.2105896103141776,0,9.978688077714173
26,4.7,2022-03-05,Fog,0,Buffet ,motorcycle,0,0,Metropolitian,10,9.220373067021216,1,15.0
35,4.1,2022-03-12,Sandstorms,3,Buffet ,motorcycle,2,0,Metropolitian,37,13.96960642768458,1,15.0
39,4.6,2022-03-29,Fog,3,Drinks ,scooter,2,0,Metropolitian,44,13.973206773137713,0,10.0
34,4.7,2022-03-19,Windy,2,Drinks ,electric_scooter,1,0,Metropolitian,28,6.058853851669116,1,10.0
27,4.7,2022-03-10,Cloudy,3,Snack ,scooter,1,0,Metropolitian,42,17.07799287216204,0,15.0
25,4.4,2022-03-27,Cloudy,1,Snack ,scooter,1,0,Metropolitian,39,17.072871906399556,1,5.0
25,4.7,2022-03-27,Stormy,1,Meal ,motorcycle,0,0,Urban,20,16.818368923732613,1,5.0
30,5.0,2022-03-24,Stormy,2,Buffet ,motorcycle,1,0,Metropolitian,31,2.979502850576494,0,5.0
24,4.6,2022-03-09,Stormy,3,Buffet ,motorcycle,0,0,Metropolitian,13,9.220865975037842,0,10.0
39,4.8,2022-03-03,Stormy,3,Meal ,motorcycle,1,0,Metropolitian,28,7.661331134220826,0,15.0
25,4.8,2022-02-15,Windy,2,Snack ,scooter,1,0,Urban,19,6.1755160934059985,0,5.0
37,4.6,2022-02-18,Fog,0,Buffet ,motorcycle,2,1,Urban,42,12.209856560906529,0,15.0
24,5.0,2022-03-01,Fog,0,Drinks ,motorcycle,1,0,Metropolitian,23,1.5526813140972442,0,5.0
25,4.2,2022-03-23,Stormy,3,Meal ,motorcycle,1,0,Metropolitian,39,16.902806732498032,0,15.0
32,4.6,2022-04-01,Stormy,0,Drinks ,motorcycle,1,0,Metropolitian,25,1.5093577696337532,0,10.0
34,4.7,2022-02-16,Sandstorms,0,Drinks ,scooter,0,0,Metropolitian,15,10.416963824321584,0,5.0
38,4.9,2022-03-11,Cloudy,0,Drinks ,scooter,1,0,Urban,15,3.0251186390184004,0,15.0
36,4.8,2022-03-14,Sunny,1,Buffet ,electric_scooter,0,0,Metropolitian,15,13.407092693002484,0,5.0
25,5.0,2022-03-18,Stormy,3,Meal ,motorcycle,1,0,Metropolitian,15,16.721976048741215,0,15.0
29,5.0,2022-04-01,Sunny,0,Drinks ,motorcycle,0,0,Metropolitian,18,7.772343594464243,0,5.0
36,4.7,2022-04-04,Sandstorms,0,Drinks ,electric_scooter,0,0,Metropolitian,29,13.773737657079298,0,10.0
33,4.7,2022-03-11,Fog,0,Snack ,motorcycle,0,0,Metropolitian,20,7.790158927084966,0,5.0
36,4.4,2022-03-13,Cloudy,2,Meal ,scooter,1,0,Metropolitian,39,6.217834398578936,1,15.0
21,4.8,2022-03-04,Windy,0,Snack ,motorcycle,0,0,Metropolitian,19,16.852834881460105,0,15.0
25,4.8,2022-03-26,Cloudy,0,Snack ,scooter,1,0,Urban,19,4.610035602260694,1,15.0
